COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
1743.0,13590.0,1721.0,915.0,0.0,2549.0
0.0,575.0,10.0,0.0,0.0,12.0
46.0,1005.0,28.0,17.0,0.0,57.0
384.0,3677.0,214.0,135.0,0.0,464.0
2485.0,21200.0,1830.0,1073.0,0.0,3246.0
3158.0,34350.0,2593.0,1246.0,0.0,4508.0
0.0,52.0,0.0,0.0,0.0,0.0
0.0,127.0,0.0,0.0,0.0,0.0
55.0,445.0,50.0,27.0,0.0,70.0
453.0,2396.0,376.0,307.0,0.0,522.0
448.0,2942.0,375.0,236.0,0.0,589.0
0.0,714.0,15.0,0.0,0.0,25.0
27.0,1243.0,23.0,10.0,0.0,41.0
183.0,4745.0,190.0,48.0,0.0,337.0
1911.0,24859.0,1738.0,618.0,50.0,3076.0
2099.0,29566.0,1969.0,672.0,65.0,3453.0
15.0,875.0,25.0,0.0,0.0,44.0
49.0,1742.0,48.0,21.0,0.0,78.0
335.0,5930.0,389.0,181.0,0.0,558.0
2333.0,26931.0,2621.0,1293.0,62.0,3719.0
3174.0,39596.0,3290.0,1511.0,59.0,5004.0
11.0,468.0,21.0,0.0,0.0,30.0
19.0,659.0,14.0,0.0,0.0,31.0
148.0,2635.0,153.0,62.0,11.0,252.0
1111.0,14974.0,1321.0,537.0,64.0,1956.0
1484.0,18890.0,1653.0,587.0,59.0,2606.0
81.0,3138.0,81.0,19.0,15.0,157.0
174.0,6412.0,178.0,62.0,14.0,302.0
1263.0,23179.0,1331.0,533.0,57.0,2113.0
8214.0,108375.0,10408.0,4361.0,227.0,14476.0
12664.0,174367.0,15742.0,6191.0,358.0,22553.0
10.0,633.0,18.0,0.0,0.0,30.0
26.0,1287.0,37.0,0.0,0.0,59.0
201.0,4098.0,204.0,83.0,0.0,332.0
1275.0,16851.0,1399.0,583.0,67.0,2155.0
1902.0,24779.0,1926.0,784.0,97.0,3134.0
0.0,270.0,0.0,0.0,0.0,14.0
10.0,481.0,0.0,0.0,0.0,15.0
90.0,1999.0,69.0,28.0,0.0,137.0
842.0,10998.0,932.0,337.0,15.0,1458.0
1629.0,21229.0,1860.0,577.0,54.0,2961.0
0.0,168.0,0.0,0.0,0.0,10.0
0.0,191.0,0.0,0.0,0.0,0.0
47.0,736.0,40.0,15.0,0.0,68.0
328.0,4260.0,403.0,180.0,0.0,561.0
490.0,6023.0,509.0,229.0,0.0,779.0
37.0,2337.0,58.0,10.0,0.0,93.0
67.0,3945.0,107.0,35.0,0.0,145.0
528.0,15307.0,754.0,270.0,10.0,1030.0
5379.0,83913.0,7624.0,3056.0,139.0,10075.0
10885.0,137038.0,13047.0,5600.0,224.0,18530.0
26.0,1522.0,28.0,0.0,0.0,54.0
52.0,2369.0,53.0,12.0,0.0,98.0
365.0,8244.0,369.0,147.0,0.0,595.0
3116.0,41464.0,3199.0,1449.0,86.0,4940.0
3666.0,49169.0,3652.0,1572.0,96.0,5834.0
0.0,177.0,0.0,0.0,0.0,0.0
0.0,311.0,0.0,0.0,0.0,0.0
43.0,1010.0,44.0,12.0,0.0,71.0
388.0,5878.0,367.0,195.0,12.0,579.0
643.0,9704.0,641.0,265.0,47.0,1064.0
16.0,1235.0,36.0,0.0,0.0,56.0
50.0,2151.0,53.0,22.0,0.0,82.0
406.0,7814.0,371.0,165.0,10.0,627.0
3129.0,42925.0,3630.0,1708.0,98.0,5144.0
5120.0,65320.0,5568.0,2374.0,144.0,8444.0
21.0,983.0,22.0,0.0,0.0,45.0
37.0,1433.0,38.0,17.0,0.0,61.0
324.0,5452.0,322.0,161.0,0.0,496.0
2464.0,28968.0,2926.0,1358.0,97.0,4119.0
3184.0,39247.0,3374.0,1435.0,112.0,5229.0
